
AIS Model DLK-70 WebPstat Electrochemical Analyzer Rev 2.87
Copyright (c) 2010-2015, Analytical Instrument Systems, Inc.
All Rights Reserved.

"Data File Name: EDS00295-0010-E00001.csv"
"Job ID: 295"
"Electrode Number: 1"
"Manipulator Position (mm): 30.0"
"Date/Time: 05/09/2016 14:24:02"
"Experiment Name: Calib_WE_sulfide"
"Technique: Cyclic Voltammetry"
"User Notes: "
"Internal Instrument Temperature: 25.586138 C"
"Data Points: 1947"
"Pulse Height: 0.0"
"Sequence ID: N/A"
"Current Range: 100 nA / V"
"Filter: None"
"eFilter: Off"
"Scan Rate: 100.00"
"Average Step Size: 0.001750V"
"Sampling Time: 17500 microseconds"
"Degas: 0"
"Stir Time: 0"
"Condition: E : -0.900000 time(sec): 3.000000E : -0.100000 time(sec): 3.000000"
"Vertex 1 Potentials: Initial -0.100 Final -1.800"
"Vertex 2 Potentials: Initial -1.800 Final -0.100"

ESIG(E), ISIG(A)

-9.987500e-02,-4.621449e-08
-1.016250e-01,-3.661911e-08
-1.033750e-01,-2.889805e-08
-1.051250e-01,-2.375067e-08
-1.068750e-01,-1.569390e-08
-1.086250e-01,-8.420437e-09
-1.103750e-01,-3.133186e-09
-1.121250e-01,3.804583e-09
-1.138750e-01,6.937769e-09
-1.156250e-01,1.043463e-08
-1.173750e-01,1.474276e-08
-1.191250e-01,1.781999e-08
-1.208750e-01,2.277155e-08
-1.226250e-01,2.870222e-08
-1.243750e-01,3.225503e-08
-1.261250e-01,3.715063e-08
-1.278750e-01,3.989217e-08
-1.296250e-01,4.162661e-08
-1.313750e-01,4.484372e-08
-1.331250e-01,4.786501e-08
-1.348750e-01,5.035477e-08
-1.366250e-01,5.564203e-08
-1.383750e-01,5.916686e-08
-1.401250e-01,6.193638e-08
-1.418750e-01,6.560108e-08
-1.436250e-01,6.669210e-08
-1.453750e-01,6.859439e-08
-1.471250e-01,7.122403e-08
-1.488750e-01,7.270670e-08
-1.506250e-01,7.726661e-08
-1.523750e-01,8.070752e-08
-1.541250e-01,8.294550e-08
-1.558750e-01,8.669414e-08
-1.576250e-01,8.719768e-08
-1.593750e-01,8.896010e-08
-1.611250e-01,9.128202e-08
-1.628750e-01,9.161771e-08
-1.646250e-01,9.519849e-08
-1.663750e-01,9.855548e-08
-1.681250e-01,1.008214e-07
-1.698750e-01,1.038427e-07
-1.716250e-01,1.051016e-07
-1.733750e-01,1.047939e-07
-1.751250e-01,1.065563e-07
-1.768750e-01,1.071997e-07
-1.786250e-01,1.091020e-07
-1.803750e-01,1.127387e-07
-1.821250e-01,1.148648e-07
-1.838750e-01,1.167951e-07
-1.856250e-01,1.189212e-07
-1.873750e-01,1.183617e-07
-1.891250e-01,1.189771e-07
-1.908750e-01,1.202080e-07
-1.926250e-01,1.207955e-07
-1.943750e-01,1.237049e-07
-1.961250e-01,1.259709e-07
-1.978750e-01,1.266143e-07
-1.996250e-01,1.290761e-07
-2.013750e-01,1.282928e-07
-2.031250e-01,1.283767e-07
-2.048750e-01,1.294398e-07
-2.066250e-01,1.287683e-07
-2.083750e-01,1.308105e-07
-2.101250e-01,1.333562e-07
-2.118750e-01,1.338598e-07
-2.136250e-01,1.359579e-07
-2.153750e-01,1.360418e-07
-2.171250e-01,1.349508e-07
-2.188750e-01,1.355662e-07
-2.206250e-01,1.357061e-07
-2.223750e-01,1.352585e-07
-2.241250e-01,1.379721e-07
-2.258750e-01,1.389512e-07
-2.276250e-01,1.395667e-07
-2.293750e-01,1.404059e-07
-2.311250e-01,1.390351e-07
-2.328750e-01,1.382518e-07
-2.346250e-01,1.389232e-07
-2.363750e-01,1.376923e-07
-2.381250e-01,1.397904e-07
-2.398750e-01,1.403500e-07
-2.416250e-01,1.405458e-07
-2.433750e-01,1.416648e-07
-2.451250e-01,1.400702e-07
-2.468750e-01,1.378322e-07
-2.486250e-01,1.377763e-07
-2.503750e-01,1.359859e-07
-2.521250e-01,1.366852e-07
-2.538750e-01,1.376644e-07
-2.556250e-01,1.373007e-07
-2.573750e-01,1.374965e-07
-2.591250e-01,1.362656e-07
-2.608750e-01,1.337479e-07
-2.626250e-01,1.328807e-07
-2.643750e-01,1.314539e-07
-2.661250e-01,1.307546e-07
-2.678750e-01,1.311742e-07
-2.696250e-01,1.311462e-07
-2.713750e-01,1.298034e-07
-2.731250e-01,1.296356e-07
-2.748750e-01,1.265024e-07
-2.766250e-01,1.247400e-07
-2.783750e-01,1.237888e-07
-2.801250e-01,1.213830e-07
-2.818750e-01,1.216907e-07
-2.836250e-01,1.214109e-07
-2.853750e-01,1.200682e-07
-2.871250e-01,1.202640e-07
-2.888750e-01,1.171308e-07
-2.906250e-01,1.151166e-07
-2.923750e-01,1.136060e-07
-2.941250e-01,1.112001e-07
-2.958750e-01,1.108364e-07
-2.976250e-01,1.110603e-07
-2.993750e-01,1.093818e-07
-3.011250e-01,1.092419e-07
-3.028750e-01,1.070598e-07
-3.046250e-01,1.044302e-07
-3.063750e-01,1.030315e-07
-3.081250e-01,1.011851e-07
-3.098750e-01,9.978638e-08
-3.116250e-01,1.004298e-07
-3.133750e-01,9.917093e-08
-3.151250e-01,9.824775e-08
-3.168750e-01,9.698888e-08
-3.186250e-01,9.427533e-08
-3.203750e-01,9.256886e-08
-3.221250e-01,9.153378e-08
-3.238750e-01,8.954758e-08
-3.256250e-01,9.016302e-08
-3.273750e-01,8.937972e-08
-3.291250e-01,8.770123e-08
-3.308750e-01,8.728161e-08
-3.326250e-01,8.459602e-08
-3.343750e-01,8.241398e-08
-3.361250e-01,8.177056e-08
-3.378750e-01,7.919687e-08
-3.396250e-01,7.986826e-08
-3.413750e-01,7.939269e-08
-3.431250e-01,7.830167e-08
-3.448750e-01,7.835762e-08
-3.466250e-01,7.589583e-08
-3.483750e-01,7.382570e-08
-3.501250e-01,7.343404e-08
-3.518750e-01,7.108415e-08
-3.536250e-01,7.125201e-08
-3.553750e-01,7.125201e-08
-3.571250e-01,7.016099e-08
-3.588750e-01,7.013301e-08
-3.606250e-01,6.876224e-08
-3.623750e-01,6.604868e-08
-3.641250e-01,6.537729e-08
-3.658750e-01,6.386664e-08
-3.676250e-01,6.297144e-08
-3.693750e-01,6.353094e-08
-3.711250e-01,6.297144e-08
-3.728750e-01,6.216017e-08
-3.746250e-01,6.160067e-08
-3.763750e-01,5.913888e-08
-3.781250e-01,5.829964e-08
-3.798750e-01,5.734849e-08
-3.816250e-01,5.608962e-08
-3.833750e-01,5.673304e-08
-3.851250e-01,5.673304e-08
-3.868750e-01,5.561405e-08
-3.886250e-01,5.608962e-08
-3.903750e-01,5.340403e-08
-3.921250e-01,5.276061e-08
-3.938750e-01,5.214516e-08
-3.956250e-01,5.038275e-08
-3.973750e-01,5.111010e-08
-3.991250e-01,5.155769e-08
