
AIS Model DLK-70 WebPstat Electrochemical Analyzer Rev 2.87
Copyright (c) 2010-2015, Analytical Instrument Systems, Inc.
All Rights Reserved.

"Data File Name: EDS00299-0010-E00001.csv"
"Job ID: 299"
"Electrode Number: 1"
"Manipulator Position (mm): 52.0"
"Date/Time: 05/09/2016 15:06:03"
"Experiment Name: Calib_WE_sulfide"
"Technique: Cyclic Voltammetry"
"User Notes: "
"Internal Instrument Temperature: 27.706163 C"
"Data Points: 1947"
"Pulse Height: 0.0"
"Sequence ID: N/A"
"Current Range: 1 uA / V"
"Filter: None"
"eFilter: Off"
"Scan Rate: 100.00"
"Average Step Size: 0.001750V"
"Sampling Time: 17500 microseconds"
"Degas: 0"
"Stir Time: 0"
"Condition: E : -0.900000 time(sec): 3.000000E : -0.100000 time(sec): 3.000000"
"Vertex 1 Potentials: Initial -0.100 Final -1.800"
"Vertex 2 Potentials: Initial -1.800 Final -0.100"

ESIG(E), ISIG(A)

-9.987500e-02,-2.629638e-08
-1.016250e-01,-1.258869e-08
-1.033750e-01,-2.797487e-09
-1.051250e-01,6.154472e-09
-1.068750e-01,6.993718e-09
-1.086250e-01,1.118995e-08
-1.103750e-01,9.511457e-09
-1.121250e-01,1.174945e-08
-1.138750e-01,1.482668e-08
-1.156250e-01,1.678493e-08
-1.173750e-01,2.210015e-08
-1.191250e-01,2.433814e-08
-1.208750e-01,2.545714e-08
-1.226250e-01,2.937362e-08
-1.243750e-01,2.349890e-08
-1.261250e-01,2.601663e-08
-1.278750e-01,2.629638e-08
-1.296250e-01,2.377864e-08
-1.313750e-01,2.853437e-08
-1.331250e-01,3.217110e-08
-1.348750e-01,3.049261e-08
-1.366250e-01,3.524834e-08
-1.383750e-01,2.797487e-08
-1.401250e-01,2.909387e-08
-1.418750e-01,3.021286e-08
-1.436250e-01,2.797487e-08
-1.453750e-01,3.105211e-08
-1.471250e-01,3.440909e-08
-1.488750e-01,3.356985e-08
-1.506250e-01,3.552809e-08
-1.523750e-01,3.301035e-08
-1.541250e-01,2.993312e-08
-1.558750e-01,3.133186e-08
-1.576250e-01,3.077236e-08
-1.593750e-01,2.881412e-08
-1.611250e-01,3.552809e-08
-1.628750e-01,3.804583e-08
-1.646250e-01,3.580784e-08
-1.663750e-01,3.412935e-08
-1.681250e-01,3.049261e-08
-1.698750e-01,3.133186e-08
-1.716250e-01,3.161161e-08
-1.733750e-01,2.965337e-08
-1.751250e-01,3.384960e-08
-1.768750e-01,3.356985e-08
-1.786250e-01,3.301035e-08
-1.803750e-01,3.412935e-08
-1.821250e-01,3.049261e-08
-1.838750e-01,2.909387e-08
-1.856250e-01,3.021286e-08
-1.873750e-01,2.545714e-08
-1.891250e-01,3.077236e-08
-1.908750e-01,3.217110e-08
-1.926250e-01,3.105211e-08
-1.943750e-01,3.273060e-08
-1.961250e-01,2.993312e-08
-1.978750e-01,2.629638e-08
-1.996250e-01,2.797487e-08
-2.013750e-01,2.545714e-08
-2.031250e-01,2.853437e-08
-2.048750e-01,3.105211e-08
-2.066250e-01,3.049261e-08
-2.083750e-01,3.077236e-08
-2.101250e-01,2.965337e-08
-2.118750e-01,2.545714e-08
-2.136250e-01,2.545714e-08
-2.153750e-01,2.517739e-08
-2.171250e-01,2.349890e-08
-2.188750e-01,2.825462e-08
-2.206250e-01,2.993312e-08
-2.223750e-01,2.657613e-08
-2.241250e-01,3.077236e-08
-2.258750e-01,2.349890e-08
